Subscriber	StartTime	EndTime
13800010581	2009-01-01 00:00:13	2009-01-01 00:03:02
13800010530	2009-01-01 00:00:19	2009-01-01 00:04:09
13800010452	2009-01-01 00:00:40	2009-01-01 00:04:18
13800010218	2009-01-01 00:00:45	2009-01-01 00:03:18
13800010895	2009-01-01 00:00:47	2009-01-01 00:02:05
13800010773	2009-01-01 00:00:54	2009-01-01 00:03:03
13800010460	2009-01-01 00:00:58	2009-01-01 00:02:13
13800010458	2009-01-01 00:01:21	2009-01-01 00:01:45
13800010821	2009-01-01 00:01:23	2009-01-01 00:04:18
13800010058	2009-01-01 00:01:46	2009-01-01 01:00:11
13800010004	2009-01-01 00:01:51	2009-01-01 00:02:20
13800010182	2009-01-01 00:02:09	2009-01-01 00:53:58
13800010134	2009-01-01 00:02:17	2009-01-01 00:04:49
13800010565	2009-01-01 00:02:23	2009-01-01 00:03:13
13800010306	2009-01-01 00:02:29	2009-01-01 00:04:39
13800010193	2009-01-01 00:02:34	2009-01-01 00:04:55
13800010195	2009-01-01 00:03:01	2009-01-01 00:05:21
13800010781	2009-01-01 00:03:03	2009-01-01 00:05:00
13800010719	2009-01-01 00:03:05	2009-01-01 00:07:11
13800010692	2009-01-01 00:03:25	2009-01-01 00:07:56
13800010133	2009-01-01 00:03:42	2009-01-01 00:07:45
13800010234	2009-01-01 00:03:49	2009-01-01 00:37:51
13800010723	2009-01-01 00:04:00	2009-01-01 00:06:24
13800010419	2009-01-01 00:04:23	2009-01-01 00:06:06
13800010537	2009-01-01 00:04:28	2009-01-01 00:07:20
13800010407	2009-01-01 00:04:30	2009-01-01 00:07:14
13800010799	2009-01-01 00:04:35	2009-01-01 00:09:05
13800010054	2009-01-01 00:04:47	2009-01-01 00:05:46
13800010521	2009-01-01 00:04:59	2009-01-01 00:07:16
13800010766	2009-01-01 00:05:00	2009-01-01 00:07:25
13800010454	2009-01-01 00:05:12	2009-01-01 00:09:18
13800010203	2009-01-01 00:05:19	2009-01-01 00:29:12
13800010322	2009-01-01 00:05:40	2009-01-01 00:08:44
13800010348	2009-01-01 00:06:17	2009-01-01 00:10:01
13800010034	2009-01-01 00:06:22	2009-01-01 00:09:02
13800010628	2009-01-01 00:06:44	2009-01-01 00:08:09
13800010714	2009-01-01 00:06:49	2009-01-01 00:10:00
13800010409	2009-01-01 00:06:55	2009-01-01 00:11:56
13800010698	2009-01-01 00:06:57	2009-01-01 00:10:16
13800010701	2009-01-01 00:06:58	2009-01-01 00:09:25
13800010634	2009-01-01 00:07:07	2009-01-01 00:12:20
13800010585	2009-01-01 00:07:07	2009-01-01 00:07:36
13800010494	2009-01-01 00:07:12	2009-01-01 00:10:23
13800010641	2009-01-01 00:07:35	2009-01-01 00:11:52
13800010086	2009-01-01 00:08:07	2009-01-01 00:11:53
13800010819	2009-01-01 00:08:44	2009-01-01 00:13:05
13800010032	2009-01-01 00:08:47	2009-01-01 00:09:51
13800010613	2009-01-01 00:08:54	2009-01-01 01:07:58
13800010534	2009-01-01 00:09:07	2009-01-01 01:01:06
13800010094	2009-01-01 00:09:22	2009-01-01 00:11:54
13800010879	2009-01-01 00:09:23	2009-01-01 00:13:29
13800010663	2009-01-01 00:09:34	2009-01-01 00:12:31
13800010456	2009-01-01 00:09:38	2009-01-01 00:11:30
13800010870	2009-01-01 00:09:39	2009-01-01 00:13:40
13800010525	2009-01-01 00:09:45	2009-01-01 00:13:01
13800010354	2009-01-01 00:10:10	2009-01-01 00:11:12
13800010284	2009-01-01 00:10:12	2009-01-01 00:11:42
13800010577	2009-01-01 00:10:25	2009-01-01 00:38:43
13800010538	2009-01-01 00:10:25	2009-01-01 00:13:00
13800010847	2009-01-01 00:10:36	2009-01-01 00:14:00
13800010320	2009-01-01 00:10:47	2009-01-01 01:02:16
13800010759	2009-01-01 00:11:19	2009-01-01 00:14:07
13800010791	2009-01-01 00:11:29	2009-01-01 00:12:58
13800010129	2009-01-01 00:11:30	2009-01-01 00:14:07
13800010410	2009-01-01 00:11:35	2009-01-01 00:14:50
13800010591	2009-01-01 00:11:44	2009-01-01 00:15:27
13800010386	2009-01-01 00:12:00	2009-01-01 00:16:14
13800010350	2009-01-01 00:12:11	2009-01-01 00:15:49
13800010542	2009-01-01 00:12:14	2009-01-01 00:13:58
13800010082	2009-01-01 00:12:40	2009-01-01 00:13:46
13800010480	2009-01-01 00:12:49	2009-01-01 00:17:02
13800010665	2009-01-01 00:12:55	2009-01-01 00:15:12
13800010387	2009-01-01 00:13:09	2009-01-01 00:13:56
13800010391	2009-01-01 00:13:10	2009-01-01 00:42:58
13800010091	2009-01-01 00:13:20	2009-01-01 00:15:40
13800010107	2009-01-01 00:13:40	2009-01-01 00:17:54
13800010035	2009-01-01 00:13:48	2009-01-01 00:14:56
13800010561	2009-01-01 00:14:15	2009-01-01 00:18:09
13800010682	2009-01-01 00:14:21	2009-01-01 00:18:39
13800010566	2009-01-01 00:14:24	2009-01-01 00:15:25
13800010262	2009-01-01 00:14:28	2009-01-01 00:15:41
13800010110	2009-01-01 00:14:51	2009-01-01 00:18:15
13800010268	2009-01-01 00:14:51	2009-01-01 00:17:20
13800010361	2009-01-01 00:15:08	2009-01-01 00:16:34
13800010464	2009-01-01 00:15:18	2009-01-01 00:17:57
13800010658	2009-01-01 00:15:25	2009-01-01 00:37:39
13800010529	2009-01-01 00:15:43	2009-01-01 00:16:03
