ID	Name	Gender	Post	Birthday	AccountNo	BasePay
1	Mike	Female	Sale	1968-12-08 00:00:00	5369368912986521	5600.0
2	Jake	Male	Vice President	1962-02-19 00:00:00	9641076771943034	2500.0
3	Lucy	Female	Sale	1973-08-30 00:00:00	6652482451405780	10800.0
4	Andy	Male	Sales Manager	1968-09-19 00:00:00	6500288605409660	7500.0
5	Jim	Male	Sales Manager	1965-03-04 00:00:00	4413802479802512	4700.0
6	David	Male	Sale	1967-07-02 00:00:00	8609167570309329	9300.0
7	Jessica	Male	Sale	1960-05-29 00:00:00	5688996643039205	2900.0
8	Lily	Female	Inside Sales Coordinator	1969-01-09 00:00:00	4288446679630632	3500.0
9	Mary	Female	Sale	1969-07-02 00:00:00	9624479510397273	7200.0
10	Tiger	Male	General Manager	1970-10-10 00:00:00	2554908642029456	4300.0
11	Kate	Female	Human Resources Manager	1980-04-05 00:00:00	6839841069736275	7600.0
12	Al	Male	Sale	1980-03-06 00:00:00	7390298487279426	7500.0
13	Ben	Male	R&D Leader	1984-09-13 00:00:00	0452121773202660	10700.0
14	Charlie	Female	Engineer	1979-01-07 00:00:00	3942747636710111	11000.0
15	David	Male	R&D Leader	1978-04-09 00:00:00	2413080852192638	5700.0
16	Ed	Male	R&D Leader	1983-02-11 00:00:00	6525483598303815	5700.0
17	Frank	Male	Engineer	1983-10-29 00:00:00	1282849743946217	8900.0
18	Greg	Male	R&D Leader	1985-05-19 00:00:00	0823840191744259	9100.0
19	Howard	Female	R&D Leader	1979-03-06 00:00:00	0070617997531994	3100.0
20	Ida	Male	Engineer	1983-03-03 00:00:00	5162840833472999	6400.0
21	Joe	Male	R&D Leader	1984-09-12 00:00:00	5289243351824772	3500.0
22	Ken	Female	Sale	1982-07-11 00:00:00	8243873236841881	3200.0
23	Larry	Female	R&D Leader	1980-07-23 00:00:00	0841933302740560	6800.0
