clerk_name	sale_date	sale_amt
Larry	1995-03-17 00:00:00	1894
Dow	1995-03-17 00:00:00	2800
Jenny	1995-03-17 00:00:00	4370
Baker	1995-03-17 00:00:00	263
Mary	1995-03-17 00:00:00	604
Tom	1995-03-17 00:00:00	756
Steven	1995-03-17 00:00:00	3465
Harry	1995-03-17 00:00:00	459
Bill	1995-03-17 00:00:00	1333
Johnson	1995-03-18 00:00:00	2318
Larry	1995-03-18 00:00:00	1840
Dow	1995-03-18 00:00:00	4044
Jenny	1995-03-18 00:00:00	3037
Baker	1995-03-18 00:00:00	3524
Mary	1995-03-18 00:00:00	137
Tom	1995-03-18 00:00:00	16
Steven	1995-03-18 00:00:00	3699
Harry	1995-03-18 00:00:00	796
Bill	1995-03-18 00:00:00	119
Johnson	1995-03-19 00:00:00	2910
Larry	1995-03-19 00:00:00	3698
Dow	1995-03-19 00:00:00	3981
Jenny	1995-03-19 00:00:00	3472
Baker	1995-03-19 00:00:00	2239
Mary	1995-03-19 00:00:00	1734
Tom	1995-03-19 00:00:00	4253
Steven	1995-03-19 00:00:00	2654
Harry	1995-03-19 00:00:00	3904
Bill	1995-03-19 00:00:00	1273
Johnson	1995-03-20 00:00:00	2637
Larry	1995-03-20 00:00:00	4008
Dow	1995-03-20 00:00:00	630
Jenny	1995-03-20 00:00:00	2647
Baker	1995-03-20 00:00:00	520
Mary	1995-03-20 00:00:00	4027
Tom	1995-03-20 00:00:00	3275
Steven	1995-03-20 00:00:00	1404
Harry	1995-03-20 00:00:00	3743
Bill	1995-03-20 00:00:00	1136
Johnson	1995-03-21 00:00:00	1693
Larry	1995-03-21 00:00:00	2240
Dow	1995-03-21 00:00:00	1533
Jenny	1995-03-21 00:00:00	2593
Baker	1995-03-21 00:00:00	2662
Mary	1995-03-21 00:00:00	4835
Tom	1995-03-21 00:00:00	817
Steven	1995-03-21 00:00:00	4169
Harry	1995-03-21 00:00:00	3302
Bill	1995-03-21 00:00:00	3272
Johnson	1995-03-22 00:00:00	203
Larry	1995-03-22 00:00:00	4053
Dow	1995-03-22 00:00:00	1283
Jenny	1995-03-22 00:00:00	4214
Baker	1995-03-22 00:00:00	1241
Mary	1995-03-22 00:00:00	2042
Tom	1995-03-22 00:00:00	3114
Steven	1995-03-22 00:00:00	963
Harry	1995-03-22 00:00:00	2408
Bill	1995-03-22 00:00:00	442
Johnson	1995-03-23 00:00:00	3748
Larry	1995-03-23 00:00:00	588
Dow	1995-03-23 00:00:00	3612
Jenny	1995-03-23 00:00:00	4262
Baker	1995-03-23 00:00:00	4755
Mary	1995-03-23 00:00:00	4796
Tom	1995-03-23 00:00:00	944
Steven	1995-03-23 00:00:00	241
Harry	1995-03-23 00:00:00	4376
Bill	1995-03-23 00:00:00	1873
Johnson	1995-03-24 00:00:00	2801
Larry	1995-03-24 00:00:00	1932
Dow	1995-03-24 00:00:00	799
Jenny	1995-03-24 00:00:00	2041
Baker	1995-03-24 00:00:00	4489
Mary	1995-03-24 00:00:00	1602
Tom	1995-03-24 00:00:00	150
